================ Training Loss (Tue Dec  2 17:51:04 2025) ================
[Rank 0] (epoch: 1, iters: 690, time: 0.549, data: 0.000) , D_A: 0.187, G_A: 0.416, cycle_A: 3.158, idt_A: 0.000, D_B: 0.260, G_B: 0.436, cycle_B: 2.612, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 700, time: 0.593, data: 0.000) , D_A: 0.300, G_A: 0.208, cycle_A: 4.547, idt_A: 0.000, D_B: 0.121, G_B: 0.215, cycle_B: 2.749, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 710, time: 0.449, data: 0.000) , D_A: 0.129, G_A: 0.638, cycle_A: 3.299, idt_A: 0.000, D_B: 0.227, G_B: 0.352, cycle_B: 1.847, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 720, time: 0.436, data: 0.000) , D_A: 0.296, G_A: 0.182, cycle_A: 3.337, idt_A: 0.000, D_B: 0.212, G_B: 0.321, cycle_B: 3.100, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 730, time: 0.478, data: 0.000) , D_A: 0.258, G_A: 0.503, cycle_A: 3.608, idt_A: 0.000, D_B: 0.226, G_B: 0.187, cycle_B: 3.665, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 740, time: 0.438, data: 0.000) , D_A: 0.164, G_A: 0.317, cycle_A: 2.820, idt_A: 0.000, D_B: 0.189, G_B: 0.329, cycle_B: 3.370, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 750, time: 0.477, data: 0.000) , D_A: 0.126, G_A: 0.499, cycle_A: 3.892, idt_A: 0.000, D_B: 0.240, G_B: 0.396, cycle_B: 4.965, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 760, time: 0.465, data: 0.000) , D_A: 0.100, G_A: 0.146, cycle_A: 3.068, idt_A: 0.000, D_B: 0.453, G_B: 0.496, cycle_B: 2.869, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 770, time: 0.471, data: 0.000) , D_A: 0.106, G_A: 0.213, cycle_A: 2.779, idt_A: 0.000, D_B: 0.270, G_B: 0.802, cycle_B: 2.538, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 780, time: 0.450, data: 0.000) , D_A: 0.122, G_A: 0.299, cycle_A: 3.970, idt_A: 0.000, D_B: 0.132, G_B: 0.573, cycle_B: 3.304, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 790, time: 0.452, data: 0.000) , D_A: 0.537, G_A: 0.545, cycle_A: 3.114, idt_A: 0.000, D_B: 0.216, G_B: 0.270, cycle_B: 3.544, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 800, time: 0.450, data: 0.000) , D_A: 0.163, G_A: 0.205, cycle_A: 3.381, idt_A: 0.000, D_B: 0.087, G_B: 0.197, cycle_B: 4.761, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 810, time: 0.483, data: 0.000) , D_A: 0.290, G_A: 0.410, cycle_A: 3.514, idt_A: 0.000, D_B: 0.106, G_B: 0.442, cycle_B: 3.681, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 820, time: 0.531, data: 0.000) , D_A: 0.121, G_A: 0.338, cycle_A: 5.760, idt_A: 0.000, D_B: 0.047, G_B: 0.300, cycle_B: 4.117, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 830, time: 0.544, data: 0.001) , D_A: 0.174, G_A: 0.509, cycle_A: 3.680, idt_A: 0.000, D_B: 0.182, G_B: 0.245, cycle_B: 2.974, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 840, time: 0.586, data: 0.000) , D_A: 0.260, G_A: 0.345, cycle_A: 2.658, idt_A: 0.000, D_B: 0.147, G_B: 0.211, cycle_B: 2.588, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 850, time: 0.578, data: 0.000) , D_A: 0.180, G_A: 0.316, cycle_A: 3.179, idt_A: 0.000, D_B: 0.118, G_B: 1.040, cycle_B: 3.354, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 860, time: 0.491, data: 0.000) , D_A: 0.146, G_A: 0.165, cycle_A: 3.161, idt_A: 0.000, D_B: 0.059, G_B: 0.558, cycle_B: 2.261, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 870, time: 0.488, data: 0.000) , D_A: 0.225, G_A: 0.259, cycle_A: 2.115, idt_A: 0.000, D_B: 0.275, G_B: 0.779, cycle_B: 4.411, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 880, time: 0.476, data: 0.000) , D_A: 0.157, G_A: 0.446, cycle_A: 2.458, idt_A: 0.000, D_B: 0.259, G_B: 0.178, cycle_B: 2.387, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 890, time: 0.467, data: 0.000) , D_A: 0.380, G_A: 0.668, cycle_A: 2.812, idt_A: 0.000, D_B: 0.144, G_B: 0.240, cycle_B: 3.237, idt_B: 0.000

